,quantity_lsr_cqi,quantity_lsr_rsrp,quantity_lsr_rsrq,quantity_lsr_pusch_sinr,quantity_lsr_uplink_interference,customer_download_throughput_binned,quantity_lsr_ta_binned,Facebook,IP_OTHER,Youtube,Facebook Video,Whatsapp
7391,7.8,-92.8,-13.7,13.5,-114.47,1,0,0,0,1,0,0
7392,6.0,-107.833,-17.917,10.8,-116.25,0,0,0,0,1,0,0
7393,5.0,-110.467,-16.5,6.077999999999999,-112.496,0,0,0,0,0,0,0
7394,10.0,-104.0,-12.0,13.1,-117.67,1,0,1,0,0,0,0
7395,11.125,-99.0,-6.5,5.05,-118.283,1,0,1,0,0,0,0
7396,6.5,-120.0,-15.75,4.475,-117.65,0,0,0,0,0,0,0
7397,14.815,-87.75,-9.5,15.707,-117.233,0,0,0,0,0,0,0
7398,5.5,-110.909,-16.227999999999998,7.7,-111.523,1,0,0,0,1,0,0
7399,9.5,-96.0,-12.75,10.7,-112.88,0,0,0,0,0,1,0
7400,4.0,-120.5,-18.25,9.8,-111.95,0,0,0,0,0,0,0
7401,14.833,-84.0,-9.75,17.833,-115.998,0,0,0,0,0,1,0
7402,12.5,-73.0,-12.25,17.017,-112.749,0,0,0,0,0,0,1
7403,6.082999999999999,-100.333,-17.833,5.867000000000001,-107.94,0,0,0,0,0,1,0
7404,1.0,-103.0,-12.5,13.3,-115.75,0,0,0,0,0,0,0
7405,7.667000000000001,-112.0,-15.5,10.3,-116.05,0,1,0,0,0,0,0
7406,14.0,-89.0,-12.5,11.4,-110.98,0,0,0,0,0,1,0
7407,7.0,-118.0,-14.5,6.0,-112.95,1,0,0,0,1,0,0
7408,13.0,-101.0,-10.0,13.45,-115.15,0,0,0,0,0,0,0
7409,4.888999999999999,-96.0,-17.111,9.683,-111.982,1,0,0,0,1,0,0
7410,6.75,-103.111,-18.111,-1.211,-114.404,0,0,0,0,0,0,0
7411,10.0,-99.0,-9.75,11.15,-114.503,0,0,0,0,0,1,0
7412,10.667,-97.0,-12.167,13.0,-114.587,1,0,1,0,0,0,0
7413,8.417,-95.0,-14.5,10.067,-114.105,1,0,0,0,1,0,0
